Model,Accuracy,Precision,Recall,F1,ROC-AUC
Gradient Boosting,0.8034066713981547,0.6678200692041523,0.516042780748663,0.5822021116138764,0.8429150843473094
Logistic Regression,0.7331440738112136,0.4983108108108108,0.7887700534759359,0.6107660455486542,0.8421374874060296
XGBoost,0.7501774308019872,0.5196428571428572,0.7780748663101604,0.6231263383297645,0.8403833733757007
Random Forest,0.7877927608232789,0.6271186440677966,0.4946524064171123,0.5530642750373692,0.8237851662404091
